id,name,alternative_names,object_type,is_planet,data_source,data_quality,mean_radius_km,mass_kg,density_g_cm3,gravity_m_s2,escape_velocity_km_s,avg_temperature_k,semimajor_axis_km,perihelion_km,aphelion_km,eccentricity,inclination_deg,discovered_by,discovery_date,has_image,clustering_enabled,last_updated,sbdb_class,is_neo,is_pha,diameter_km,absolute_magnitude_H,albedo,rotation_period_h,semimajor_axis_au,orbital_period_days,perihelion_distance_au,aphelion_distance_au,argument_periapsis_deg,longitude_ascending_node_deg,mean_anomaly_deg,has_orbital_data,is_anomaly,anomaly_type,display_name,search_keywords,ui_category
s2003j4,S/2003 J 4,"['S/2003 J 4', 'S/2003 J 4']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,23257920.0,0.0,0.0,0.204,144.9,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708260,,,,,,,,,,,,,,,,False,,S/2003 J 4,"pha,potentially hazardous,near earth,neo,moon,s/2003 j 4",Lunas
eirene,Eirene,"['Eiréné', 'Eirene']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0,0.0,0.0,23731770.0,0.0,0.0,0.22,163.1,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708299,,,,,,,,,,,,,,,,False,,Eirene,"eirene,pha,potentially hazardous,near earth,neo,moon,eiréné",Lunas
s2003j9,S/2003 J 9,"['S/2003 J 9', 'S/2003 J 9']",Moon,False,OpenData,Primary,0.5,0.0,1.0,0.0,0.0,0.0,22441680.0,0.0,0.0,0.269,164.5,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708337,,,,,,,,,,,,,,,,False,,S/2003 J 9,"pha,potentially hazardous,near earth,s/2003 j 9,neo,moon",Lunas
s2003j10,S/2003 J 10,"['S/2003 J 10', 'S/2003 J 10']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,22896000.0,0.0,0.0,0.214,164.1,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708374,,,,,,,,,,,,,,,,False,,S/2003 J 10,"pha,potentially hazardous,near earth,neo,s/2003 j 10,moon",Lunas
s2003j12,S/2003 J 12,"['S/2003 J 12', 'S/2003 J 12']",Moon,False,OpenData,Primary,0.5,0.0,1.0,0.0,0.0,0.0,21557740.0,0.0,0.0,0.376,145.8,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708411,,,,,,,,,,,,,,,,False,,S/2003 J 12,"pha,potentially hazardous,near earth,neo,moon,s/2003 j 12",Lunas
philophrosyne,Philophrosyne,"['Philophrosyne', 'Philophrosyne']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,22819950.0,0.0,0.0,0.194,143.6,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708449,,,,,,,,,,,,,,,,False,,Philophrosyne,"pha,potentially hazardous,near earth,neo,philophrosyne,moon",Lunas
s2003j16,S/2003 J 16,"['S/2003 J 16', 'S/2003 J 16']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,21000000.0,0.0,0.0,0.23,148.5,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708486,,,,,,,,,,,,,,,,False,,S/2003 J 16,"pha,potentially hazardous,near earth,s/2003 j 16,neo,moon",Lunas
s2003j18,S/2003 J 18,"['S/2003 J 18', 'S/2003 J 18']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,20274000.0,0.0,0.0,0.105,146.4,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708524,,,,,,,,,,,,,,,,False,,S/2003 J 18,"pha,potentially hazardous,near earth,s/2003 j 18,neo,moon",Lunas
s2003j19,S/2003 J 19,"['S/2003 J 19', 'S/2003 J 19']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,22800000.0,0.0,0.0,0.334,162.9,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708560,,,,,,,,,,,,,,,,False,,S/2003 J 19,"pha,potentially hazardous,near earth,s/2003 j 19,neo,moon",Lunas
s2003j23,S/2003 J 23,"['S/2003 J 23', 'S/2003 J 23']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.00081,0.0,0.0,24055500.0,0.0,0.0,0.309,149.2,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708596,,,,,,,,,,,,,,,,False,,S/2003 J 23,"pha,potentially hazardous,near earth,neo,s/2003 j 23,moon",Lunas
