spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20187473,187473 (2006 BJ103),187473,5.120967341391169,0.00754147056677647,9.816278564563673,249.7190436535391,149.5615643036911,339.5297983250217,4232.787208751177,5.082347716912644,5.159586965869694,14.12,,,,TJN,N,N
20187474,187474 (2006 BM116),187474,5.110274271926335,0.06426893918864363,3.740767163224989,188.9344340877925,176.8907521642435,23.85443953788968,4219.536435363208,4.781842365506612,5.438706178346059,13.7,12.826,0.039,,TJN,N,N
20187475,187475 (2006 BV119),187475,5.248249711170565,0.09947701721847514,11.21118109639818,101.8861771666592,162.83469482,116.7996569479552,4391.57357005073,4.726169484285593,5.770329938055536,12.66,17.885,0.055,,TJN,N,N
20187476,187476 (2006 BB213),187476,5.23845255109496,0.06621734837081894,17.9117486030181,253.3767490325711,148.2581651981451,322.5140274677527,4379.282368360808,4.891576113595099,5.585328988594819,12.7,,,,TJN,N,N
20187478,187478 (2006 CY29),187478,5.141376705731875,0.03466577913525223,4.414427533676605,94.01448759242444,190.1426281797405,95.16162527490827,4258.116753272505,4.963146876399843,5.319606535063907,13.37,,,,TJN,N,N
20187479,187479 (2006 DA15),187479,5.221414357065078,0.09095610658651689,6.792159828425103,147.9846819509607,119.4450817638061,112.2402714242436,4357.934167564441,4.746494836271498,5.69633387785866,12.85,13.628,0.072,,TJN,N,N
20187607,187607 (2006 YB13),187607,5.263742620547163,0.0518286144258322,17.84555188461715,115.936295691265,170.1095724557696,85.94505286796505,4411.033897651682,4.990930133830005,5.536555107264321,12.68,18.761,0.035,,TJN,N,N
20187655,187655 (2007 EZ103),187655,5.198413973920336,0.09614610326245449,17.01050199070463,157.1704119161064,170.3070935263789,42.10647293819164,4329.170785336481,4.698606727182805,5.698221220657866,13.21,,,,TJN,N,N
20187656,187656 (2007 EM107),187656,5.292889373054988,0.05070958917871288,9.278525645471625,85.86991943819659,150.6669233767235,136.7150936146013,4447.722182945626,5.024489127378995,5.561289618730981,13.71,,,,TJN,N,N
20187657,187657 (2007 ER148),187657,5.236998721703395,0.03073468282299037,9.5291550047102,105.5760503926655,150.1941587772392,109.4757377672357,4377.459419427383,5.076041227047434,5.397956216359355,13.5,,,,TJN,N,N
20187659,187659 (2007 EN186),187659,5.13355597344701,0.0736510081171857,8.093998375206379,182.5591991880343,129.794439473926,61.040536972232,4248.404688062037,4.755464400776638,5.511647546117383,13.38,,,,TJN,N,N
20187692,187692 (2008 DM56),187692,5.211935368682743,0.01783808234910345,27.3160601880677,240.1302497787633,15.17759795011202,95.72460095767396,4346.072423568001,5.118964436377976,5.30490630098751,12.85,,,,TJN,N,N
20187724,187724 (2008 FC38),187724,5.212136030743754,0.1312285708755569,8.261190884388082,209.3087422695936,57.08636882034162,102.3157822932248,4346.323414854941,4.528154868220254,5.896117193267255,13.15,14.833,0.056,,TJN,N,N
20187755,187755 (1996 HN17),187755,5.266697292457632,0.0982547351872928,4.622925748281459,198.3170935696021,73.74602966216318,104.2881267650563,4414.748456193706,4.749219344675575,5.784175240239689,13.1,12.097,0.069,,TJN,N,N
20188006,188006 (2001 SF317),188006,5.206389688031016,0.05558452892204627,26.58891165472956,248.1462230563416,210.2236042405506,272.7461773844046,4339.137710572129,4.916994969837212,5.49578440622482,12.96,,,,TJN,N,N
20188020,188020 (2001 TH257),188020,5.119518119970701,0.04925256499655008,19.77470289411185,308.2819215021221,36.88387314191747,37.82437489273261,4230.990533005869,4.867368721015828,5.371667518925574,12.98,14.434,0.059,,TJN,N,N
20188026,188026 (2001 UE79),188026,5.227819236536112,0.04261762071612106,22.16538261847259,115.6353742973868,214.1422930979716,55.99251896128763,4365.955155474958,5.005022019140974,5.450616453931249,12.82,14.02,0.09,,TJN,N,N
20188053,188053 (2001 VM83),188053,5.209881766326053,0.08718234614924411,26.93569224376767,138.8690777207466,225.7963700342767,23.16303498201842,4343.504022949952,4.75567205077758,5.664091481874526,12.87,14.989,0.065,,TJN,N,N
20188060,188060 (2001 VG127),188060,5.169735470726913,0.02631582393526374,11.08394102075257,150.0336761769549,76.88415771206543,159.8764450354038,4293.395619594517,5.033689622287375,5.305781319166449,13.29,,,,TJN,N,N
20188083,188083 (2001 XM126),188083,5.360003074262854,0.06569055760064856,5.578429536551486,267.1508297686302,83.2987816077772,34.53649143233975,4532.585290544144,5.007901483573337,5.712104664952371,13.17,,,,TJN,N,N
20188234,188234 (2002 UO74),188234,5.113058122839464,0.06992572836293794,14.10350122415774,135.9593138880936,206.9492279080731,30.61547865221087,4222.984829521594,4.755523809437879,5.47059243624105,13.8,,,,TJN,N,N
20188247,188247 (2002 WS23),188247,5.215260854209644,0.05430353419366871,6.847634855851569,236.175215852597,71.23980825339302,63.75753637019323,4350.232616975612,4.932053758084169,5.498467950335119,13.05,14.828,0.056,,TJN,N,N
20188257,188257 (2002 XM117),188257,5.196099637336962,0.03486731951710595,15.61995684236573,177.9197650872248,73.2150323102799,131.1867842581218,4326.280083530682,5.014925571039216,5.377273703634708,13.16,,,,TJN,N,N
20188373,188373 (2004 BZ132),188373,5.340719440533311,0.07071699421615435,13.97277383518538,190.500299601241,133.441950640584,59.97333766818992,4508.147043290879,4.963039814747014,5.718399066319608,13.24,,,,TJN,N,N
20188574,188574 (2004 YC22),188574,5.195065147721878,0.04809670294134032,16.57079502514069,4.131362830674623,126.2713214856473,258.8405913328873,4324.988171509944,4.945199642550989,5.444930652892768,13.72,,,,TJN,N,N
20188835,188835 (2006 BP90),188835,5.20471103949445,0.03315890822904261,10.57028512028439,304.0021851042648,149.2945471384666,286.9062179746632,4337.039337096432,5.032128503777169,5.377293575211731,14.12,,,,TJN,N,N
20188836,188836 (2006 BK159),188836,5.155833807873751,0.06861977037846546,4.087509211444773,159.1073197604783,181.301154150609,40.61077361725724,4276.08955145168,4.802041675867925,5.509625939879577,13.74,,,,TJN,N,N
20188837,188837 (2006 BN194),188837,5.219793240891594,0.1134336207622106,4.389743160438992,322.8054781705131,290.4407475869565,125.7845232995917,4355.904783752841,4.627693193947147,5.811893287836042,12.95,13.081,0.086,,TJN,N,N
20188841,188841 (2006 DZ39),188841,5.251000827177289,0.1114988808158534,8.168488565727586,170.0262882869873,136.7779221639049,62.61150139805476,4395.027096132082,4.665520111783901,5.836481542570677,13.61,,,,TJN,N,N
20188842,188842 (2006 DP129),188842,5.197010731380698,0.03249336311964044,9.041504010650112,12.97198322848814,128.4094887899255,245.5908939191838,4327.418000738702,5.028142374549277,5.365879088212119,13.86,,,,TJN,N,N
20188843,188843 (2006 DX131),188843,5.259726361975288,0.04380801540586161,4.683387169502782,232.4657527947158,90.53834508008973,57.95326174218134,4405.986403625743,5.029308188479257,5.490144535471317,13.78,,,,TJN,N,N
20188844,188844 (2006 DH157),188844,5.2650056707704,0.0317528059129512,9.63382168824379,98.1488391505418,154.9743001139764,139.0196923967339,4412.621653347554,5.09782696757584,5.43218437396496,13.97,,,,TJN,N,N
