id,name,englishName,isPlanet,moons,semimajorAxis,perihelion,aphelion,eccentricity,inclination,mass,vol,density,gravity,escape,meanRadius,aroundPlanet,discoveredBy,discoveryDate,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode,bodyType,mass_value,mass_exponent,mass_kg,vol_value,vol_exponent,vol_km3,moon_count
hiiaka,Hi'iaka,Hiʻiaka,False,,49880,0,0,0.0513,126.35,{},,1.0,0.0,0.0,160.0,{},Michael E. Brown,26/01/2005,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
dysnomie,Dysnomie,Dysnomia,False,,37273,0,0,0.0062,45.49,{},,1.0,0.0,0.0,350.0,{},Michael E. Brown,??/09/2005,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
dia,Dia,Dia,False,,12118000,0,0,0.211,28.23,{},,1.0,0.0,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",27/12/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
s2004s3,S/2004 S 3,S/2004 S 3,False,,140100,0,0,0.02,0.0,,,1.0,0.0,0.0,2.0,{},Carl Murray,21/06/2004,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
s2004s4,S/2004 S 4,S/2004 S 4,False,,140100,0,0,0.0,0.0,,,1.0,0.0,0.0,2.0,{},Carl Murray,09/09/2004,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
s2004s6,S/2004 S 6,S/2004 S 6,False,,140134,0,0,0.002,0.02,,,1.0,0.0,0.0,2.5,{},Carolyn C. Porco,28/10/2004,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
s2010j1,S/2010 J 1,S/2010 J 1,False,,23314335,0,0,0.32,163.2,,,1.0,0.0,0.0,1.0,{},"Jacobson, Brozovic, Gladman, Alexandersen",07/09/2010,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
s2010j2,S/2010 J 2,S/2010 J 2,False,,20307150,0,0,0.307,150.4,,,1.0,0.0,0.0,0.5,{},Christian Veillet,08/09/2010,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
ceres,(1) Cérès,1 Ceres,False,,414010000,382620000,445410000,0.07582,10.593,{},{},2.161,0.28,510.0,476.2,,Giuseppe Piazzi,01/01/1801,3.0,168,77.3721,73.59769,80.30553,Asteroid,0,0,0,0,0,0,0
hebe,(6) Hébé,6 Hebe,False,,362959000,289958000,435960000,0.201,14.765,{},,1.0,0.0,0.0,92.3,,Karl Ludwig Hencke,01/07/1847,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
lempo,(47171) Lempo,47171 Lempo,False,,5884000000,4580000000,7185000000,0.221,8.4,,,1.0,0.0,0.0,197.0,,"E. P. Rubenstein, L.-G. Strolger",01/10/1999,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
petitprince,Petit-Prince,The Little Prince,False,,1184,0,0,0.01,8.0,{},,1.0,0.0,0.0,13.0,{},"W. J. Merline, L. M. Close, C. Dumas, C. R. Chapman, F. Roddier, F. Menard, D. C. Slater, G. Duvert, J. C. Shelton, T. Morgan",01/11/1999,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
pulcova,(762) Pulcova,762 Pulcova,False,,472579673,427401116,517758230,0.096,13.049,{},,1.0,0.0,0.0,78.6,,G. N. Neujmin,03/09/1913,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
toutatis,(4179) Toutatis,4179 Toutatis,False,,377326000,137739000,616914000,0.635,0.446,{},,1.0,0.0,0.0,0.0,,Christian Pollas,04/01/1989,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
quaoar,(50000) Quaoar,50000 Quaoar,False,[{}],6489054000,6266487000,6711620000,0.034,7.984,{},,1.0,0.0,0.0,675.0,,"Chadwick Trujillo, Michael E. Brown",04/06/2002,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,1
steins,(2867) Šteins,2867 Šteins,False,,353495000,30867000,405132000,0.1463,9.944,,,1.0,0.0,0.0,0.0,,N. S. Tchernykh,04/11/1969,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
eris,(136199) Éris,136199 Eris,False,[{}],10180122852,5765732799,14594512904,0.44068,44.0445,{},{},2.52,0.82,1380.0,1163.0,,"Michael E. Brown, Chadwick Trujillo, David L. Rabinowitz",05/01/2005,0.0,42,205.989,151.639,35.951,Dwarf Planet,0,0,0,0,0,0,1
astree,(5) Astrée,5 Astraea,False,,384877000,310509000,459245000,0.193,5.37,{},,1.0,0.0,0.0,59.5,,Karl Ludwig Hencke,08/12/1845,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
pholus,(5145) Pholus,5145 Pholus,False,,3055227000,1302945000,4807509000,0.574,0.0,{},,1.0,0.0,0.0,95.0,,David Rabinowitz / Spacewatch,09/01/1992,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
castalia,(4769) Castalia,4769 Castalia,False,,159053000,82190000,235916000,0.483,8.886,{},,1.0,0.0,0.0,0.0,,Eleanor F. Helin,09/08/1989,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
remus,Rémus,Remus,False,,706,0,0,0.016,2.0,{},,1.0,0.0,0.0,7.0,{},"Franck Marchis, Pascal Descamps, Daniel Hestroffer, Jérome Berthier",09/08/2005,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
hector,(624) Hector,624 Hektor,False,,781183000,762145000,800220000,0.024,18.198,{},,1.0,0.0,0.0,0.0,,August Kopff,10/02/1907,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
kleopatra,(216) Kléopatra,216 Kleopatra,False,"[{}, {}]",417796000,312544000,523049000,0.252,13.099,{},,1.0,0.0,0.0,0.0,,Johann Palisa,10/04/1880,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,2
cruithne,(3753) Cruithne,3753 Cruithne,False,,149260000,72415000,226104000,0.515,19.807,{},,1.0,0.0,0.0,2.5,,"J. Duncan Waldron, Giovanni de Sanctis, Richard M. West",10/10/1986,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
junon,(3) Junon,3 Juno,False,,399480000,328870000,502080000,0.2568,12.963,{},,1.0,0.0,0.0,120.0,,Karl L. Harding,12/01/1804,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
hygie,(10) Hygie,10 Hygiea,False,,469345000,413378000,525311000,0.119,3.83,{},,1.0,0.0,0.0,203.6,,Annibale de Gasparis,12/04/1849,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
lutetia,(21) Lutetia,21 Lutetia,False,,364277000,304600000,423955000,0.164,3.064,{},,1.0,0.0,0.0,42.5,,H. M. S. Goldschmidt,12/11/1852,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
mathilde,(253) Mathilde,253 Mathilde,False,,395900000,290640000,501170000,0.266,6.738,{},,1.0,0.0,0.0,0.0,,Johann Palisa,12/11/1885,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
uranus,Uranus,Uranus,True,"[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",2870658186,2734998229,3006318143,0.0457,0.772,{},{},1.27,8.87,21380.0,25362.0,,William Herschel,13/03/1781,97.77,76,142.2386,98.862,73.967,Planet,0,0,0,0,0,0,27
iris,(7) Iris,7 Iris,False,,357019000,274729000,439310000,0.23,5.523,{},,1.0,0.0,0.0,100.0,,John Russell Hind,13/08/1847,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
eros,(433) Éros,433 Eros,False,,218155000,169548000,266762000,0.2229,10.8294,{},,1.0,0.0,0.0,0.0,,Gustav Witt,13/08/1898,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
vanth,Vanth,Vanth,False,,9000,0,0,0.0009,105.03,{},,1.0,0.0,0.0,434.0,{},"Michael E. Brown, T.A. Suer",13/11/2005,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
sedna,(90377) Sedna,90377 Sedna,False,,75659770000,11378031000,139941508000,0.85,11.932,{},,1.0,0.0,0.0,497.0,,"Chadwick Trujillo, Michael E. Brown, David L. Rabinowitz",14/11/2003,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
chariklo,(10199) Chariklo,10199 Chariklo,False,,2380000000,1962000000,2799000000,0.1759,23.3737,,,1.0,0.0,0.0,248.0,,Spacewatch,15/02/1997,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
sylvia,(87) Sylvia,87 Sylvia,False,"[{}, {}]",522135000,48540000,563729000,0.08,10.856,{},,1.0,0.0,0.0,0.0,,Norman Robert Pogson,16/05/1866,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,2
dactyl,Dactyl,(243) Ida I Dactyl,False,,90,0,0,0.0,8.0,,,1.0,0.0,0.0,0.0,{},Ann Harch,17/02/1994,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
orcus,(90482) Orcus,90482 Orcus,False,[{}],5862440000,4535800000,7188170000,0.2262,20.593,{},,1.0,0.0,0.0,473.0,,"Michael E. Brown, Chadwick Trujillo, David L. Rabinowitz",17/02/2004,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,1
pluton,Pluton,Pluto,False,"[{}, {}, {}, {}, {}]",5906440628,4436756954,7376124302,0.2488,17.16,{},{},1.89,0.62,1210.0,1188.3,,Clyde W. Tombaugh,18/02/1930,122.5,44,14.53,113.175,110.088,Dwarf Planet,0,0,0,0,0,0,5
damocles,(5335) Damoclès,5335 Damocles,False,,1760100000,236400000,3304500000,0.87,0.0,,,1.0,0.0,0.0,5.0,,Robert H. McNaught,18/02/1991,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
romulus,Romulus,Romulus,False,,1351,0,0,0.0069,1.7,,,1.0,0.0,0.0,10.8,{},"Michael E. Brown, Jean-Luc Margot",18/02/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
alexhelios,Alexhélios,Alexhelios,False,,0,0,0,0.0,0.0,,,1.0,0.0,0.0,6.9,{},"F. Marchis, P. Descamps, J. Berthier, F. Vachier, J. P. Emery",18/09/2008,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
cleoselene,Cléoséléné,Cleoselene,False,,0,0,0,0.0,0.0,,,1.0,0.0,0.0,8.9,{},"F. Marchis, P. Descamps, J. Berthier, F. Vachier, J. P. Emery",18/09/2008,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
flore,(8) Flore,8 Flora,False,,329313000,277806000,380821000,0.156,5.887,{},,1.0,0.0,0.0,67.7,,John Russell Hind,18/10/1847,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
chiron,(2060) Chiron,2060 Chiron,False,,2042652000,1262646000,2822659000,0.382,6.935,{},,1.0,0.0,0.0,83.0,,Charles T. Kowal,18/10/1977,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
eureka,(5261) Eurêka,5261 Eureka,False,,227908000,213132000,242684000,0.065,0.0,,,1.0,0.0,0.0,1.2,,David H. Levy,20/06/1990,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
achille,(588) Achille,588 Achilles,False,,776669000,662395000,890944000,0.147,10.324,{},,1.0,0.0,0.0,67.8,,Max Wolf,22/02/1906,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
weywot,Weywot,Weywot,False,,14500,12470,16530,0.148,14.0,,,1.0,0.0,0.0,170.0,{},"Michael E. Brown, T.A. Suer",22/02/2007,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
ixion,(28978) Ixion,28978 Ixion,False,,5910896000,4483896000,7337896000,0.241,19.621,{},,1.0,0.0,0.0,379.5,,Deep Ecliptic Survey,22/05/2001,0.0,0,0.0,0.0,0.0,Asteroid,0,0,0,0,0,0,0
